tri_name,region_folder,stage,tri_strcode
adjust_tex,us,n_title,f8cb51
aks,us,a02a,0191d3
aks,us,a02a,eb0b98
aks,us,d01t,0191d3
aks,us,d01t,eb0b98
aks,us,d021p01,0191d3
aks,us,d036p03,0191d3
aks,us,d036p05,eb0b98
aks,us,d04t,eb0b98
aks,us,ta02a,0191d3
aks,us,ta02a,eb0b98
aks_amo,us,d04t,612b2c
aks_amo,us,d065p02,0191d3
amg_def,us,d070p09,a13626
amg_def,us,d080p07,a13626
amg_def,us,d080p08,a13626
animal,us,ending,164155
apdray,us,a42a,33d562
apdray,us,ta42a,33d562
apdray,us,w42a,33d562
apdray_stage_w44a,us,w44a,33d562
arsenal_map,us,r_vr_1,a7866b
arsenal_map,us,r_vr_b,a7866b
arsenal_map,us,r_vr_p,a7866b
arsenal_map,us,r_vr_r,a7866b
arsenal_map,us,r_vr_rp,a7866b
arsenal_map,us,r_vr_s,a7866b
arsenal_map,us,r_vr_sp,a7866b
arsenal_map,us,r_vr_t,a7866b
bar,us,a01f,019492
bar,us,ta01f,019492
bar,us,w01f,019492
base,us,a01a,3292c5
base,us,ta01a,3292c5
base,us,w01a,3292c5
base_stage_a01f,us,a01f,3292c5
base_stage_a01f,us,ta01f,3292c5
base_stage_a01f,us,w01f,3292c5
bird_cage,us,a24d,887693
bird_cage,us,a24g,887693
bird_cage,us,w24d,887693
bird_cage_door,us,d070p01,34b77f
bird_cage_open,us,d070p01,3a3a3b
bodyarmor_mt,us,r_plt0,26e23e
bodyarmor_mt,us,r_plt2,26e23e
bodyarmor_mt,us,r_plt3,26e23e
bodyarmor_mt,us,r_plt4,26e23e
bodyarmor_mt,us,r_plt5,26e23e
bodyarmor_mt,us,r_plt_s,26e23e
bodyarmor_mt,us,r_tnk_r,26e23e
bodyarmor_mt,us,r_vr_1,26e23e
bodyarmor_mt,us,r_vr_b,26e23e
bodyarmor_mt,us,r_vr_p,26e23e
bodyarmor_mt,us,r_vr_r,26e23e
bodyarmor_mt,us,r_vr_rp,26e23e
bodyarmor_mt,us,r_vr_s,26e23e
bodyarmor_mt,us,r_vr_sp,26e23e
bodyarmor_mt,us,r_vr_t,26e23e
bodyarmor_mt,us,r_vr_x,26e23e
bombsensor_a,us,d014p01,6f392e
bombsensor_a,us,w16a,6f392e
book,us,a01f,32ca4b
book,us,ta01f,32ca4b
book,us,w01f,32ca4b
book_hahen,us,a24b,64c09f
book_hahen,us,w24b,64c09f
boss_opt,us,n_title,647721
boss_rush,jp,r_rai_b,907874
boss_rush,jp,r_sna_b,907874
boss_rush,us,n_title,907874
boss_rush2,us,n_title,0f0ec4
boss_rush2,us,r_rai_b,0f0ec4
boss_rush2,us,r_sna_b,0f0ec4
boss_rush_stage_r_rai_b_r,us,r_rai_b,907874
boss_rush_stage_r_rai_b_r,us,r_sna_b,907874
boss_telop,us,r_rai_b,26f3e2
boss_telop,us,r_sna_b,26f3e2
boss_telop_02,us,r_rai_b,f295ab
boss_telop_02,us,r_sna_b,f295ab
bottle,us,a01f,2bdeb0
bottle,us,ta01f,2bdeb0
bottle,us,w01f,2bdeb0
box2_ibox,us,a20b,8bacc2
box2_ibox,us,w32a,bd7cce
box2_ibox,us,w32b,bd7cce
break,us,a16a,5aa091
break,us,w16a,5aa091
break,us,w16b,5aa091
break_stage_d014p01,us,d014p01,5aa091
building,us,d080p07,f6e03f
c4_kaitai_a,us,a12a,54a2ed
c4_kaitai_a,us,a20c,512f3d
c4_kaitai_a,us,a24d,54a2ed
c4_kaitai_a,us,a24g,54a2ed
c4_kaitai_a,us,d014p01,54a2ed
c4_kaitai_a,us,ta12a,54a2ed
c4_kaitai_a,us,w12a,54a2ed
c4_kaitai_a,us,w12c,54a2ed
c4_kaitai_a,us,w16a,54a2ed
c4_kaitai_a,us,w16b,54a2ed
c4_kaitai_a,us,w18a,54a2ed
c4_kaitai_a,us,w20b,54a2ed
c4_kaitai_a,us,w20c,54a2ed
c4_kaitai_a,us,w20d,54a2ed
c4_kaitai_a1,us,d021p01,945ddb
c4_kaitai_c1,us,w20c,945e1b
c_box,us,r_plt0,61165e
c_box,us,r_plt1,61165e
c_box,us,r_plt2,61165e
c_box,us,r_plt3,61165e
c_box,us,r_plt4,61165e
c_box,us,r_plt5,61165e
c_box,us,r_plt_s,61165e
c_box,us,r_rai_b,61165e
c_box,us,r_tnk_r,61165e
c_box,us,r_vr_1,61165e
c_box,us,r_vr_b,61165e
c_box,us,r_vr_p,61165e
c_box,us,r_vr_r,61165e
c_box,us,r_vr_rp,61165e
c_box,us,r_vr_s,61165e
c_box,us,r_vr_sp,61165e
c_box,us,r_vr_t,61165e
c_box,us,r_vr_x,61165e
c_box_stage_r_sna_b_r,us,r_sna_b,61165e
c_box_stage_r_sna_b_r,us,r_tnk0,61165e
c_box_sub,us,r_sna_b,176c68
c_box_sub,us,r_tnk0,176c68
call,us,r_plt0,3311ec
call,us,r_plt1,3311ec
call,us,r_plt2,3311ec
call,us,r_plt3,3311ec
call,us,r_plt4,3311ec
call,us,r_plt5,3311ec
call,us,r_plt_s,3311ec
call,us,r_tnk0,3311ec
call,us,r_tnk_r,3311ec
cam_radio_mh_mt,us,f01a,15f007
cam_radio_mh_mt,us,f01b,15f007
cam_radio_mh_mt,us,f01c,15f007
cam_radio_mh_mt,us,f01d,15f007
cam_radio_mh_mt,us,f01e,15f007
cam_radio_mh_mt,us,f01f,15f007
cam_radio_mh_mt,us,f03a,15f007
cam_radio_mh_mt,us,f04c,15f007
cam_radio_mh_mt,us,f04e,15f007
cam_skull_mh_mt,us,f01e,67074c
cam_skull_mh_mt,us,f01f,67074c
cameratex,us,a00a,b80129
cameratex,us,a00b,b80129
cameratex,us,a00c,b80129
cameratex,us,a01a,b80129
cameratex,us,a01b,b80129
cameratex,us,a01c,b80129
cameratex,us,a01d,b80129
cameratex,us,a01e,b80129
cameratex,us,a01f,b80129
cameratex,us,a02a,b80129
cameratex,us,a02b,b80129
cameratex,us,a03a,b80129
cameratex,us,a03b,b80129
cameratex,us,a12a,b80129
cameratex,us,a12b,b80129
cameratex,us,a13a,b80129
cameratex,us,a13b,b80129
cameratex,us,a13c,b80129
cameratex,us,a14a,b80129
cameratex,us,a14b,b80129
cameratex,us,a15a,b80129
cameratex,us,a15b,b80129
cameratex,us,a16a,b80129
cameratex,us,a17a,b80129
cameratex,us,a18a,b80129
cameratex,us,a19a,b80129
cameratex,us,a20a,b80129
cameratex,us,a20b,b80129
cameratex,us,a20c,b80129
cameratex,us,a20e,b80129
cameratex,us,a21a,b80129
cameratex,us,a21b,b80129
cameratex,us,a22a,b80129
cameratex,us,a22b,b80129
cameratex,us,a23a,b80129
cameratex,us,a23b,b80129
cameratex,us,a24a,b80129
cameratex,us,a24b,b80129
cameratex,us,a24c,b80129
cameratex,us,a24d,b80129
cameratex,us,a24f,b80129
cameratex,us,a24g,b80129
cameratex,us,a25a,b80129
cameratex,us,a25d,b80129
cameratex,us,a28a,b80129
cameratex,us,a31a,b80129
cameratex,us,a31c,b80129
cameratex,us,a41a,b80129
cameratex,us,a41b,b80129
cameratex,us,a42a,b80129
cameratex,us,a43a,b80129
cameratex,us,a45a,b80129
cameratex,us,a46a,b80129
cameratex,us,a61a,b80129
cameratex,us,sp01a,b80129
cameratex,us,sp02a,b80129
cameratex,us,sp03a,b80129
cameratex,us,sp06a,b80129
cameratex,us,sp07a,b80129
cameratex,us,sp08a,b80129
cameratex,us,sp21a,b80129
cameratex,us,sp22a,b80129
cameratex,us,sp24a,b80129
cameratex,us,sp25a,b80129
cameratex,us,st01a,b80129
cameratex,us,st02a,b80129
cameratex,us,st03a,b80129
cameratex,us,st04a,b80129
cameratex,us,st05a,b80129
cameratex,us,ta00a,b80129
cameratex,us,ta01a,b80129
cameratex,us,ta01b,b80129
cameratex,us,ta01c,b80129
cameratex,us,ta01d,b80129
cameratex,us,ta01e,b80129
cameratex,us,ta01f,b80129
cameratex,us,ta02a,b80129
cameratex,us,ta12a,b80129
cameratex,us,ta20a,b80129
cameratex,us,ta22a,b80129
cameratex,us,ta24a,b80129
cameratex,us,ta31a,b80129
cameratex,us,ta42a,b80129
cameratex,us,tsp03a,b80129
cameratex,us,tvs03a,b80129
cameratex,us,tvs05a,b80129
cameratex,us,tvs06a,b80129
cameratex,us,tvs08a,b80129
cameratex,us,twp03a,b80129
cameratex,us,twp34a,b80129
cameratex,us,twp43a,b80129
cameratex,us,vs01a,b80129
cameratex,us,vs02a,b80129
cameratex,us,vs03a,b80129
cameratex,us,vs04a,b80129
cameratex,us,vs05a,b80129
cameratex,us,vs06a,b80129
cameratex,us,vs07a,b80129
cameratex,us,vs08a,b80129
cameratex,us,vs09a,b80129
cameratex,us,vs10a,b80129
cameratex,us,wp01a,b80129
cameratex,us,wp02a,b80129
