texture_name,tri_dumped_png_converted_sha1
0008bc34,918c71b446b9f83a85f1fccce62f00da07eebefe
00096be0,9c9f3f8265b3af7dfcfc4c627a7a2552fe58f54f
0009bc34,ab783752284c74d9730358bf3c2f432fc37b8701
0009eb6f,cf5916d51218676043190c326cb6bcce22bc03b2
0009f56f,3b5da24f165dd1436b03fc43fd5432ec67a59b39
0009f66f,2ac1fb2247e47c33fc8af0b10c41febe4e2355ea
000a8fc0,9489f6fca8678be0fb9b1415e1a923c6a9e0b949
000aa7de,c578965b730ccb9b29acc118d025110c416e2b25
000b7011,ff04fd960e07808f421fe2134f16fad345f79fcf
000c59bf,bd9326bbcfe764228c69ebd1b901e27ecabf9602
000cc716,d4ff3bbe995bcf881687d80a1b27e3fd19d6620f
000ccd6b,97fb868928cebbbc1414026fe5523e8d5326ce3b
000e1a61,dc9dac7774b88ed63ef69f5292f72172c340c942
000ebe38,b94378a9419d762a69b534033c912e2cb3fceb90
000f0073,3da332f7f7ec46c3f01b719e059a22eb11d2aeb4
00100d1b,353367fc8b93498d93671910ebd888697e37d042
001087b3,9fe429c1f920aec5d0fff2834a0a7e830bcbccd2
0010e123,457b2f03ae7cd511544eba95fea98bffea833eb7
001187b3,ad3ae5bef31e000d5554b0c9c29f41e9688e8e85
0012e9ed,4f147d7a5617c6087cd9db57f3ed0f059c87ebc5
0013486e,370e3d8999f62b20c268999e6320b7c664fc14bf
0013547f,880f0ae48fef0b046ad479a606f222c24ac248e1
0014547f,0294f19900b301bec19c67944b99b0c38096a3f2
001463f1,f9b0b0571bd9070ef1364f7588630a99e811eaec
0015547f,52fa602a5f5732e91e81a29a3e18323d50d783ef
00158927,19645acf222cf08c80b27eb32c85bd2e84e8a0e5
0015d707,dff8c6f96d52010e4b0c507de976fc93dd949533
0015d707_cd82fa959c0f81d19f22c0b0fdf8d230,9ee654fe2eb047203e28da0583e6fbc05c4256f6
0016852b,6c8d92c9943abb3313fe25d55eec73389a55fd78
0016bbf5,a0accdc65814e743b1bccb7b92fd948a435c7979
0016cb7f,6802d9b51b948a2a1a26d3e021bd1fd501b8845e
0017bbf5,de8933919a905259771aad02a6461ed3f6abc511
00180189,5c2c0ad8a9b3ae13fc55a1e47eba6f079ce3db93
001a8739,d88fd64fd9c0564eaeaf4eb7e093da58389937e4
001a8739_9b95ed97d41ce0c9da24766f77e0bf35,1fc04b97f1f2b49273bb543c68255df20c61e801
001bb358,bf63050b25f30e2586d84be1aad4f48d87c4a2ba
001cd071,ce15b8e72ea3a9e70c1e40f5e1c2e353a6998054
001f2016,62e7a1122483b3d296d6bed608ee231c9c0c69d6
00202016,b3937ea39040609f5dca7bcdf7b5d6b01053682b
00207af5,cad31a69eff64d4fbd812c63130a69860c0b1506
0020c7c1,d4f62d82f5936a6a68126a44697d89c82d41c23e
0020e3c2,59d33fa9b8a781d3c84f3e179626e17777bd02f3
0020fb52,60f7b97cc739741751397a2d4e5125924ee450f9
00212016,1739cba83a20ed3d94ae18f212c5f5874333419d
0021e3c2,ccdea41fbc5f51bc93de5795b4c36ae7dc49de09
00222016,72dd5570360b9d33bb66714be9396541476d05a8
0022e3c2,78fdd07128c432cedb1ccfa7bbc47a033173fc2b
00232016,c0dbe3c3a5f20dca7bf59c0f1d3a2d6f83fd5c18
00232162,0b298347fd4041164f260bb2f27ab690e47f286c
002387da,1ad0030d12206815d1320bfecb3b19f1a31d4633
00238df3,3db1c97ce6800e999835af767a327b95283797c8
0023ace3,3a60922e4aa7b3db2fe37a4c16f88ca50223d78e
00242016,3901e800ac491bb13a679714d68f3874b8a63a10
00248df3,daf5262d2fb2b6188ac186a3e3dbaff52b5a99ca
002515dc,aa5e5659ab47d3ab3dc74fd36c74c49d1d4603a4
00252016,adf7c58d519709150d1919913155cadca8b58441
00253181,3eb52862d6839ca45e058352cd4f12fecbb07964
00262016,9d7b8cafddaaa9526b4174fa5fffbb600ff88a55
00265522,cd6ec2428814c8b84ddec0b14c72b4aaed911dda
0026f2fc,fa7eb98d6ccdb2142375db70e7faff33ef10b543
00272016,8909beef9811ba8de816adcd3f7020c43dfd9fbc
00273921,279915df71cfd1c6990c6d1b4b2a51d5cc718d6a
