texture_name,tri_dumped_alpha_stripped_sha1
003587ad,0000000000000000000000000000000000000000
00358bd0,0000000000000000000000000000000000000000
00364ad1,0000000000000000000000000000000000000000
00367807,dc49445bfe3357f096f12c089ea81702c93bc877
0036ea81,ed73412a92b1a71cfb29185033adce30486c2039
0036fbd0,0000000000000000000000000000000000000000
00370bd0,0000000000000000000000000000000000000000
00371bd0,0000000000000000000000000000000000000000
00372bd0,0000000000000000000000000000000000000000
00373bd0,0000000000000000000000000000000000000000
00374bd0,0000000000000000000000000000000000000000
0037502a,0000000000000000000000000000000000000000
0037513a,0000000000000000000000000000000000000000
00375bd0,0000000000000000000000000000000000000000
00376bd0,0000000000000000000000000000000000000000
00380922,88fac28237e46bbdc4686c8695cea3e59493decb
00384ad1,0000000000000000000000000000000000000000
0038e7a7,0000000000000000000000000000000000000000
0038f08e,97c0d9cf819b89a0d19babd5fbed60f30ce52b4e
0038f2a7,0000000000000000000000000000000000000000
0038f2a7_09a2e59f677ae755c7156ae89bea86a9,0000000000000000000000000000000000000000
0038f2a7_506b55e6b21d5eaec73ca5aa5ffb9a36,0000000000000000000000000000000000000000
0038f2a7_be3ef19531b3a85625ef614280f2874c,0000000000000000000000000000000000000000
003954fa,0000000000000000000000000000000000000000
003997fd,0000000000000000000000000000000000000000
003997fd_58fcdefef3f7eda79d7e4a9f65f040ed,0000000000000000000000000000000000000000
0039af8a,0000000000000000000000000000000000000000
003a4ad1,0000000000000000000000000000000000000000
003a8d29,0000000000000000000000000000000000000000
003aa501,df333a5169b3cde4414c916326c5b406f903762c
003c4ad1,0000000000000000000000000000000000000000
003c8502,95fdd3d9e09d9a0ec9dfe4d5bfc1e887b7086451
003d8502,b8ae4867c96164d2b04a17fd86c45100e89d9b39
003e4ad1,0000000000000000000000000000000000000000
003e8502,f5b29686c2dc747d39736e74c839b86a7ec71818
003e9364,69b6265781cb285e99213f2cafefd5be328ea9d1
003f0404,0000000000000000000000000000000000000000
003f8502,52be85bb0ec28d60e21907c9c827c102dbad131a
003fc7c9,0000000000000000000000000000000000000000
00404ad1,0000000000000000000000000000000000000000
00408502,4345f26afa67b6532cff4a7913addde7ad40fb26
0040cd15,74cdccf632b1bfbfcc36842e8eb208a0ed12b921
0040eac3,0000000000000000000000000000000000000000
00418502,5b5a6b4c120cc56ee60b7d4ac5c94be255f8317f
0041eac3,0000000000000000000000000000000000000000
00424ad1,0000000000000000000000000000000000000000
00427069,54128eb46640660333cb70ae29985dc230580391
00428502,3c131fccf9d4015dabf0b8215eace12f94b3a609
0042eac3,0000000000000000000000000000000000000000
0043eac3,fdcfd509133d2375dea7b7a4f2b7940447f3380e
00443f1d,0000000000000000000000000000000000000000
00445c5a,0000000000000000000000000000000000000000
00453f1d,0000000000000000000000000000000000000000
004579c8,0000000000000000000000000000000000000000
00459114,4c64a447f11a32a832a070a5a08fbaa82c16fa77
004613c2,0000000000000000000000000000000000000000
00463f1d,0000000000000000000000000000000000000000
00469114,8dafabd68214653e4d3b5e2876d50859018b7479
004750b0,b7777cf330777a1023c4600c1c50821f2ab564a8
004750b0_b04d2410ad3d8dfa5e0f135d4c15d11e,0000000000000000000000000000000000000000
004767e5,0000000000000000000000000000000000000000
00479114,6a2f557add20095cd370a2e693b28580c4f9dfec
00481d9d,5e3639a903a619accd6a7b89a44327675c43f04b
004867e5,0000000000000000000000000000000000000000
00487b63,0000000000000000000000000000000000000000
00491714,7171d0a3f2d6be17c18931ffd359f42fb2b9d578
00491d9d,0000000000000000000000000000000000000000
004967e5,0000000000000000000000000000000000000000
00497b63,0000000000000000000000000000000000000000
004a67e5,0000000000000000000000000000000000000000
004a7b63,0000000000000000000000000000000000000000
004acd8a,319ff5f8033e69b78113bf760f9771d3ef77bd18
004b2a01,d15fe09a947651b4068ba86f322f453141899d48
004b67e5,0000000000000000000000000000000000000000
004b7b63,0000000000000000000000000000000000000000
004c1d9d,0000000000000000000000000000000000000000
004c67e5,0000000000000000000000000000000000000000
004c943d,a8fdd433aaeff1646632f3dc0163e672cfe855d6
004c9773,0000000000000000000000000000000000000000
004cf0ba,0000000000000000000000000000000000000000
004d1d9d,0000000000000000000000000000000000000000
004d3971,e3f47d16014d004230582e10fba720cdd18f6dd7
004dd2d1,0000000000000000000000000000000000000000
004e6292,0000000000000000000000000000000000000000
004e93c9,0000000000000000000000000000000000000000
004f1d9d,0000000000000000000000000000000000000000
004f1d9d_86994cb2425e706d85d38eb0d74da538,0000000000000000000000000000000000000000
004fb78a,6e1acc4f215bbc30109100f36ad7ff83e3763416
004fc78a,62242564f17c48e0471b3ec5cfa46ec43eb19bdc
00501d9d,0000000000000000000000000000000000000000
00501d9d_1914ca0e502000992f2d09f0b7a86868,0000000000000000000000000000000000000000
0050bfc5,0000000000000000000000000000000000000000
005155d8,1e5052c6f8a5c4ca105bdff42752043515b8b43c
0051a133,41ccba3f655961c154c53cfe64875d89e108d402
