BP Comparison Log - 2025-10-29 02:09:27
================================================================================

REMADE FILES
--------------------------------------------------------------------------------
[BP REMADE] 0027ccec.tga | original: 56x52 | ceil_p^2: 64x64 | hdc/mc: 112x104
[BP REMADE] 002be6b0.tga | original: 296x12 | ceil_p^2: 512x16 | hdc/mc: 592x24
[BP REMADE] 002c9415.tga | original: 72x48 | ceil_p^2: 128x64 | hdc/mc: 144x96
[BP REMADE] 002ca269.tga | original: 100x12 | ceil_p^2: 128x16 | hdc/mc: 200x24
[BP REMADE] 002ca269_3ad823d6b15d2e0656bc022f9ae4d1ed.tga | original: 96x12 | ceil_p^2: 128x16 | hdc/mc: 192x24
[BP REMADE] 002ceb42.tga | original: 120x120 | ceil_p^2: 128x128 | hdc/mc: 240x240
[BP REMADE] 002d83df.tga | original: 48x77 | ceil_p^2: 64x128 | hdc/mc: 96x154
[BP REMADE] 002d83df_d6d6e25cebf411fbdc10afdc75e6c763.tga | original: 48x77 | ceil_p^2: 64x128 | hdc/mc: 96x154
[BP REMADE] 002d83e0.tga | original: 152x22 | ceil_p^2: 256x32 | hdc/mc: 304x44
[BP REMADE] 002d83e0_fe14aedf8aead9e025a71608da78f12d.tga | original: 152x22 | ceil_p^2: 256x32 | hdc/mc: 304x44
[BP REMADE] 002d83e1.tga | original: 64x8 | ceil_p^2: 64x8 | hdc/mc: 128x16
[BP REMADE] 002d83e2.tga | original: 64x8 | ceil_p^2: 64x8 | hdc/mc: 128x16
[BP REMADE] 002d83e3.tga | original: 8x8 | ceil_p^2: 8x8 | hdc/mc: 16x16
[BP REMADE] 002d83e4.tga | original: 8x8 | ceil_p^2: 8x8 | hdc/mc: 16x16
[BP REMADE] 002d83e5.tga | original: 64x8 | ceil_p^2: 64x8 | hdc/mc: 128x16
[BP REMADE] 002e7dde.tga | original: 48x8 | ceil_p^2: 64x8 | hdc/mc: 96x16
[BP REMADE] 002e7ddf.tga | original: 48x8 | ceil_p^2: 64x8 | hdc/mc: 96x16
[BP REMADE] 002e7de0.tga | original: 48x32 | ceil_p^2: 64x32 | hdc/mc: 96x64
[BP REMADE] 002e7de3.tga | original: 16x16 | ceil_p^2: 16x16 | hdc/mc: 32x32
[BP REMADE] 002e7de4.tga | original: 16x16 | ceil_p^2: 16x16 | hdc/mc: 32x32
[BP REMADE] 002e7de5.tga | original: 48x16 | ceil_p^2: 64x16 | hdc/mc: 96x32
